,Player,player_name,All_NBA,All_Star,Draft_Yr,Pk,Team,College,Yrs,Games_Career,Minutes_Played_Career,PTS_Career,TRB_Career,AST_Career,FG_Percentage,TP_Percentage,FT_Percentage,Minutes_per_Game,Points_Per_Game,TRB_per_Game,Assists_per_Game,Win_Share,WS_per_game,BPM_Career,VORP_Career,Executive,exec_name,Prior_Player,ethnic,Tenure,tenure_years,Exec_ID,Exec_draft_exp,attend_college,first_year,second_year,third_year,fourth_year,fifth_year
54,SamWilliams,samwilliams,0,0,1981,33,GSW,Arizona State University,4,257,4528,1628,1146,156,0.5,0,0.653,17.6,6.3,4.5,0.6,9,0.095,-0.1,2.1,AlAttles,alattles,1,AA,3641,9.98,1,6,1,0,0,0,0,0
55,CarltonNeverson,carltonneverson,0,0,1981,56,GSW,University of Pittsburgh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,6,1,0,0,0,0,0
56,LewisLloyd,lewislloyd,0,0,1981,76,GSW,Drake University,7,388,9406,5130,1192,1138,0.524,0.213,0.771,24.2,13.2,3.1,2.9,19.8,0.101,0.3,5.5,AlAttles,alattles,1,AA,3641,9.98,1,6,1,0,0,0,0,0
57,TerryAdolph,terryadolph,0,0,1981,80,GSW,West Texas A&M University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,6,1,0,0,0,0,0
58,HankMcDowell,hankmcdowell,0,0,1981,102,GSW,University of Memphis,6,206,1857,600,464,98,0.451,0,0.71,9,2.9,2.3,0.5,2,0.052,-3.5,-0.7,AlAttles,alattles,1,AA,3641,9.98,1,6,1,0,0,0,0,0
59,CarterScott,carterscott,0,0,1981,126,GSW,Ohio State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,6,1,0,0,0,0,0
60,RobbyDosty,robbydosty,0,0,1981,148,GSW,University of Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,6,1,0,0,0,0,0
61,YasutakaOkayama,yasutakaokayama,0,0,1981,171,GSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,6,0,0,0,0,0,0
62,DougMurrey,dougmurrey,0,0,1981,192,GSW,San Jose State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,6,1,0,0,0,0,0
63,BarryBrooks,barrybrooks,0,0,1981,213,GSW,University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,6,1,0,0,0,0,0
64,LesterConner,lesterconner,0,0,1982,14,GSW,Oregon State University,12,687,14970,4337,1861,2669,0.453,0.202,0.753,21.8,6.3,2.7,3.9,28.6,0.092,0.8,10.5,AlAttles,alattles,1,AA,3641,9.98,1,7,1,0,0,0,0,0
65,DerekSmith,dereksmith,0,0,1982,35,GSW,University of Louisville,9,408,9825,5232,1300,866,0.499,0.294,0.753,24.1,12.8,3.2,2.1,18.3,0.089,-0.7,3.2,AlAttles,alattles,1,AA,3641,9.98,1,7,1,0,0,0,0,0
66,WayneSappleton,waynesappleton,0,0,1982,38,GSW,Loyola University of Chicago,1,33,298,96,75,7,0.471,0,0.412,9,2.9,2.3,0.2,0.1,0.012,-6.8,-0.4,AlAttles,alattles,1,AA,3641,9.98,1,7,1,0,0,0,0,0
